state,year,month,TMAX,TMIN,PRCP,SNOW,SNWD
CA,2016,5,17.2,6.7,0,0,0
CA,2016,5,16.1,12.2,28,0,0
CA,2016,5,21.1,13.9,0,0,0
CA,2016,6,28.9,11.1,0,0,0
CA,2016,6,25.6,5.0,0,0,0
CA,2016,6,23.9,11.7,0,0,0
CA,2016,6,21.1,11.7,0,0,0
CA,2016,6,33.9,15.0,0,0,0
CA,2016,6,35.0,14.4,0,0,0
CA,2016,6,21.1,14.4,0,0,0
CA,2016,6,38.9,24.4,0,0,0
CA,2016,7,28.9,10.0,0,0,0
CA,2016,7,26.1,3.3,0,0,0
CA,2016,7,31.1,12.8,0,0,0
CA,2016,7,33.3,12.8,0,0,0
CA,2016,7,36.7,25.0,0,0,0
CA,2016,8,17.8,8.3,0,0,0
CA,2016,9,42.8,21.1,0,0,0
CA,2016,9,32.8,15.6,0,0,0
CA,2016,9,31.7,10.6,0,0,0
CA,2016,9,25.0,6.1,0,0,0
CA,2016,9,31.7,14.4,0,0,0
CA,2016,9,30.6,10.6,0,0,0
CA,2016,10,20.6,0.0,0,0,0
CA,2016,10,26.1,6.7,0,0,0
CA,2016,10,26.7,0.0,0,0,0
CA,2016,10,23.3,8.9,0,0,0
CA,2016,10,20.0,3.9,0,0,0
CA,2016,10,25.6,17.8,0,0,0
CA,2016,11,18.3,11.1,0,0,0
CA,2016,11,17.8,9.4,28,0,0
CA,2016,11,11.7,7.8,64,0,0
CA,2016,11,7.8,-2.8,20,0,0
CA,2016,11,8.3,1.1,0,25,0
CA,2016,11,26.1,8.9,0,0,0
CA,2016,12,8.9,-12.2,0,0,0
CA,2016,12,10.6,-0.6000000000000001,8,0,0
CA,2016,12,13.9,0.6000000000000001,0,0,0
CA,2016,12,17.2,2.8,0,0,0
CA,2016,12,3.3,-9.3,0,0,76
CA,2016,12,12.2,1.1,0,0,0
CO,2015,1,-0.6000000000000001,-23.3,0,0,102
CO,2015,1,-3.3,-19.4,0,0,76
CO,2015,1,-1.1,-7.2,0,127,254
CO,2015,1,-4.4,-20.0,0,0,76
CO,2015,1,-7.2,-22.2,0,0,51
CO,2015,2,-0.6000000000000001,-14.4,8,0,25
CO,2015,2,1.1,-6.7,0,0,381
CO,2015,2,1.7000000000000002,-13.9,0,0,127
CO,2015,2,5.6,-6.7,28,5,51
CO,2015,2,7.8,-4.4,20,0,0
CO,2015,3,5.6,-12.8,0,0,0
CO,2015,3,-2.2,-8.9,10,0,0
CO,2015,3,-8.3,-15.6,5,0,152
CO,2015,3,-4.4,-16.7,0,0,102
CO,2015,3,-5.6,-15.0,0,0,25
CO,2015,4,22.8,-2.8,0,0,0
CO,2015,4,23.9,1.1,0,0,0
CO,2015,4,18.9,3.9,0,0,0
CO,2015,4,26.1,2.2,0,0,0
CO,2015,5,22.2,5.0,0,0,0
CO,2015,5,11.1,-3.9,25,0,0
CO,2015,5,12.8,2.2,56,0,0
CO,2015,5,3.9,0.0,53,0,0
CO,2015,5,23.9,5.0,36,0,0
CO,2015,5,12.8,1.7000000000000002,0,28,25
CO,2015,5,27.8,6.7,13,0,0
CO,2015,5,26.7,8.9,18,0,0
CO,2015,6,26.1,5.6,5,0,0
CO,2015,6,28.9,7.8,8,0,0
CO,2015,6,32.8,9.4,0,0,0
CO,2015,6,32.2,10.6,0,0,0
CO,2015,6,30.6,13.9,0,0,0
CO,2015,6,27.8,8.9,0,0,0
CO,2015,7,29.4,14.4,0,0,0
CO,2015,7,35.6,16.7,0,0,0
CO,2015,7,33.9,16.7,10,0,0
CO,2015,7,32.2,17.2,0,0,0
CO,2015,7,35.0,15.0,0,0,0
CO,2015,8,32.2,12.2,0,0,0
CO,2015,8,31.1,16.1,0,0,0
CO,2015,8,28.9,15.0,0,0,0
CO,2015,8,32.2,16.1,0,0,0
CO,2015,8,36.1,18.9,0,0,0
CO,2015,9,31.7,12.8,0,0,0
CO,2015,9,36.1,16.7,0,0,0
CO,2015,9,27.8,13.3,0,0,0
CO,2015,10,23.3,11.7,0,0,0
CO,2015,10,28.3,8.3,0,0,0
CO,2015,10,18.9,6.7,0,0,0
CO,2015,10,25.0,12.8,3,0,0
CO,2015,10,21.7,0.6000000000000001,0,0,0
CO,2015,10,27.8,10.6,5,0,0
CO,2015,11,17.2,2.2,0,0,0
CO,2015,11,8.9,-7.2,0,0,51
CO,2015,11,16.7,3.3,0,0,0
CO,2015,11,22.2,-8.9,0,0,0
CO,2015,11,7.2,-8.9,0,23,0
CO,2015,11,14.4,-2.2,140,0,0
CO,2015,11,17.2,-1.7000000000000002,0,0,0
CO,2015,11,18.9,-0.6000000000000001,89,8,0
CO,2015,12,-9.4,-21.7,10,18,152
CO,2015,12,-1.1,-9.4,0,0,0
CO,2015,12,0.0,-18.9,0,0,0
CO,2015,12,-2.2,-17.2,0,0,102
CO,2015,12,-3.9,-19.4,0,0,76
CO,2016,1,-11.7,-32.8,0,0,305
CO,2016,1,-3.3,-26.1,0,0,76
CO,2016,1,-2.2,-22.2,0,0,152
CO,2016,1,-18.3,-36.1,0,0,152
CO,2016,1,1.1,-16.7,0,0,254
CO,2016,1,-7.8,-28.3,0,0,406
CO,2016,1,-3.9,-16.1,0,0,102
CO,2016,2,5.6,-10.0,51,76,914
CO,2016,2,3.9,-2.8,8,13,25
CO,2016,2,-1.1,-6.1,274,300,1041
CO,2016,2,1.7000000000000002,-4.4,102,137,127
CO,2016,2,-1.7000000000000002,-9.4,10,81,127
CO,2016,3,15.6,5.6,0,10,0
CO,2016,3,17.8,-4.4,0,0,0
CO,2016,3,17.8,-2.2,0,0,0
CO,2016,3,16.7,-5.6,0,0,0
CO,2016,4,-0.5,-18.2,0,0,0
CO,2016,4,7.8,-7.8,0,0,25
CO,2016,4,10.6,-5.6,0,0,0
CO,2016,4,20.6,-7.2,25,0,0
CO,2016,5,28.9,9.4,0,0,0
CO,2016,5,7.2,8.9,15,0,0
CO,2016,5,24.4,7.8,0,0,0
CO,2016,5,19.4,2.8,10,0,0
CO,2016,5,-1.7000000000000002,3.3,0,0,0
CO,2016,5,1.7000000000000002,11.1,0,0,0
CO,2016,6,29.4,5.6,0,0,0
CO,2016,6,27.8,15.0,152,0,0
CO,2016,7,32.8,16.1,333,0,0
CO,2016,7,39.4,16.1,178,0,0
CO,2016,7,30.0,12.8,0,0,0
CO,2016,7,30.0,9.4,8,0,0
CO,2016,7,27.2,6.1,0,0,0
CO,2016,7,28.9,7.8,58,0,0
CO,2016,7,31.1,8.3,0,0,0
CO,2016,7,29.4,17.8,0,0,0
CO,2016,8,25.0,2.2,36,0,0
CO,2016,8,36.7,15.6,0,0,0
CO,2016,9,15.0,-4.9,0,0,0
CO,2016,9,27.8,7.2,0,0,0
CO,2016,10,16.7,3.3,8,0,0
CO,2016,10,26.1,8.9,0,0,0
CO,2016,10,27.8,10.6,0,0,0
CO,2016,10,25.0,5.6,0,0,0
CO,2016,11,12.8,-2.8,0,0,51
CO,2016,11,2.2,2.8,94,25,0
CO,2016,11,16.7,2.2,0,0,0
CO,2016,11,31.1,5.0,0,0,0
CO,2016,11,24.4,1.1,0,0,0
CO,2016,11,8.3,1.7000000000000002,0,25,0
CO,2016,12,2.8,-12.8,0,0,0
CO,2016,12,-4.4,-16.7,0,0,25
CO,2016,12,1.1,-6.1,0,0,0
CO,2016,12,9.4,-9.4,0,0,0
CT,2015,2,-6.7,-16.7,0,0,381
CT,2015,2,-6.1,-12.8,0,0,254
